NDC,RxNorm,Count_10years
0009-0626-01,6691,161
0009-0698-01,6902,21
0009-0698-02,6902,21
0009-0746-30,6691,21576
0009-0746-35,6691,21576
0009-0758-01,6902,6
0009-0760-04,2582,67
0009-0775-20,2582,1
0009-0775-26,2582,1
0009-0825-01,5492,246
0009-0870-21,2582,2
0009-0870-26,2582,2
0009-1111-02,51499,2
0009-3051-01,2582,2
0009-3051-02,2582,2
0009-3073-01,6902,118
0009-3073-03,6902,118
0009-3073-22,6902,118
0009-3073-23,6902,118
0009-3116-01,2582,470
0009-3116-02,2582,470
0009-3116-14,2582,124
0009-3124-01,2582,8
0009-3124-03,2582,8
0009-3329-01,2582,695
0009-3331-01,2582,1406
0009-3331-02,2582,1406
0009-3375-01,2582,23
0009-3375-02,2582,23
0009-3381-01,2582,1
0009-3381-02,2582,1
0009-3382-01,2582,3
0009-3382-02,2582,3
0009-3448-01,2582,1163
0009-3449-01,4815,47
0009-3449-03,4815,47
0009-3470-01,2582,1
0009-3470-02,2582,1
0009-3475-01,6902,74
0009-3475-03,6902,74
0009-3475-22,6902,74
0009-3475-23,6902,74
0009-3701-05,598,10
0009-3701-08,598,10
0009-4073-03,2582,1
0009-4073-04,2582,1
0009-4541-01,119565,652
0009-4541-02,119565,652
0009-4541-03,119565,652
0009-4544-01,119565,1566
0009-4544-02,119565,1566
0009-4544-03,119565,1566
0009-4709-13,6691,19
0009-5012-01,30009,67
0009-5013-01,30009,25
0009-5014-01,30009,4
0009-5133-08,598,10
0009-5135-02,190376,491
0009-5136-01,190376,17
0009-5138-02,190376,491
0009-5138-03,190376,491
0009-5175-02,278739,2
0009-5176-02,278739,2
0009-5178-02,278739,16
0009-5181-01,598,29
0009-5181-10,598,29
0009-5182-01,598,53
0009-5182-11,598,53
0009-5190-01,119565,2043
0009-5190-02,119565,2043
0009-5190-03,119565,2043
0009-5190-04,119565,2043
0009-5191-01,119565,5719
0009-5191-02,119565,5719
0009-5191-03,119565,5719
0009-5191-04,119565,5719
0009-5200-01,278739,4
0009-5376-04,278739,4
0009-5400-01,7407,480
0009-5401-01,7407,61
0009-6780-01,2582,23
0009-6780-02,2582,23
0009-7166-01,278739,2
0009-7168-01,278739,16
0009-7200-01,278739,4
0009-7376-11,6691,3
0009-7529-03,51499,2
0009-7573-01,4570,136
0009-7663-04,258494,535
0009-7667-01,2582,51
0009-7686-01,598,25
0009-7686-04,598,25
0009-9890-01,2582,3
0009-9890-02,2582,3
0013-0101-01,9524,254
0013-0101-20,9524,254
0013-0102-01,9524,239
0013-0102-20,9524,239
0013-0132-02,3815,1
0013-2150-36,4083,1418
0013-2616-81,61148,2
0013-2616-94,61148,2
0013-2626-81,61148,6
0013-2646-81,61148,34
0013-2649-02,61148,21
0013-2650-02,61148,27
0013-2651-02,61148,8
0013-2652-02,61148,14
0013-2653-02,61148,19
0013-2654-02,61148,1
0013-2655-02,61148,8
0013-2656-02,61148,1
0013-2657-02,61148,3
0013-2658-02,61148,9
0013-5301-17,55672,16
0013-8303-01,43611,12009
0013-8303-04,43611,12009
0013-8727-89,42736,1
0015-0508-42,6703,1339
0015-0596-41,6703,2
0015-3080-60,7004,7
0015-3404-20,4179,1
0015-7226-18,7233,132
0015-7338-12,2180,25
0019-1188-75,9863,519
0019-1188-81,9863,519
0019-4816-04,218146,4
0021-4450-72,9796,19
00223-41124,,3
00223-41158,,295
00223-41586,,1
00223-42671,,9
00223-43838,,295
00223-43839,,295
00223-43840,,295
00223-43842,,3
00223-43843,,3
00223-43844,,3
00223-43850,,1
00223-43851,,1
00223-43852,,1
00223-43855,,6
00223-43856,,6
00223-43857,,6
00223-44150,,8
00223-44151,,8
00223-44190,,2
00223-45200,,4
00223-45203,,4
00223-45206,,4
00223-45277,,3
00223-45289,,2
00223-45292,,9
00223-45295,,3
00223-45428,,1
00223-45431,,1
00223-45434,,1
00223-45649,,2
00223-45652,,2
00223-45915,,2
00223-45934,,1
00223-45979,,1
00223-45995,,1
00223-46370,,13
00223-46371,,13
00223-46372,,13
00223-46373,,13
00223-46391,,26
00223-46392,,26
00223-46409,,26
00223-46415,,26
00223-46417,,26
00223-46524,,7
00223-46545,,36
00223-46548,,50
00223-46554,,24
00223-46557,,9
00223-46591,,1
00223-46692,,1
00223-46868,,1
00223-46869,,1
00223-47545,,29
00223-47548,,29
00223-47549,,29
00223-47552,,29
00223-47558,,29
00223-47614,,27
00223-47650,,5
00223-47679,,20
00223-47707,,20
00223-47709,,20
00223-47711,,20
00223-47713,,20
00223-47716,,20
00223-47718,,20
00223-47720,,20
00223-47781,,27
00223-47799,,39
00223-47802,,39
00223-47805,,39
00223-47808,,39
00223-48143,,42
00223-48146,,42
00223-48251,,10
00223-48341,,3
0023-0042-03,83947,246
0023-0042-10,83947,246
0023-0066-04,8638,8
0023-0106-05,8638,10
0023-0240-01,28384,2
0023-0240-04,6972,750
0023-0312-04,6972,266
0023-0312-07,6972,266
0023-0313-04,8638,165
0023-0316-04,4491,788
0023-0403-30,2062,363
0023-0403-50,2062,363
0023-0403-70,2062,363
0023-0506-01,8570,548
0023-0506-50,8570,548
0023-0798-01,2062,791
0023-0798-02,2062,791
0023-0798-15,2062,791
0023-1145-01,1712,1467
0023-1145-02,1712,1467
0023-1822-12,,43
0023-2181-05,35827,3753
0023-3205-03,283810,4012
0023-3205-05,283810,4012
0023-3205-08,283810,4012
0023-3240-01,2062,496
0023-3240-15,2062,496
0023-3416-30,2062,1
0023-3416-60,2062,1
0023-3507-30,35827,83
0023-3615-25,228476,711
0023-3616-05,283810,493
0023-3616-70,283810,493
0023-3670-30,3108,407
0023-3670-60,3108,407
0023-3670-90,3108,407
0023-3919-50,1712,6
0023-3921-02,1712,155
0023-4290-03,1000082,194
0023-4307-10,2062,145
0023-4307-20,2062,145
0023-4385-05,1813,45
0023-4385-10,1813,45
0023-4385-15,1813,45
0023-4491-30,2062,7
0023-4554-30,2062,13
0023-4607-10,2062,1
0023-4857-45,569,1407
0023-5206-60,3108,160
0023-5206-90,3108,160
0023-5300-30,7812,13
0023-5301-01,3008,10
0023-5301-05,3008,10
0023-5459-10,2062,3
0023-5773-30,2062,3
0023-5812-30,32675,1
0023-5853-18,52582,810
0023-5861-10,32675,195
0023-5861-11,32675,195
0023-5862-28,4124,154
0023-5862-30,4124,154
0023-5868-05,4083,70
0023-5869-10,4083,77
0023-5870-80,4500,209
0023-5879-01,,392
0023-5885-02,4083,5
0023-5885-12,4083,5
0023-5886-05,4083,31
0023-5886-15,4083,31
0023-5887-07,4083,2
0023-5887-17,4083,2
0023-5888-01,4083,12
0023-5888-11,4083,12
0023-5901-18,52582,3077
0023-5902-03,38782,1
0023-5902-04,38782,1
0023-5904-11,38782,1
0023-5904-12,38782,1
0023-5906-22,38782,6
0023-5906-23,38782,6
0023-5990-02,10379,250
0023-5990-60,10379,250
0023-5992-04,10379,839
0023-5992-30,10379,839
0023-6002-01,161,11927
0023-6010-01,1191,1327
0023-6011-60,7052,297
0023-6012-60,7052,726
0023-6013-60,7052,739
0023-6014-60,7052,36
0023-6015-60,7052,492
0023-6016-60,7052,355
0023-6017-60,7052,365
0023-6018-60,7052,360
0023-6019-60,7052,9
0023-6021-01,161,4557
0023-6022-01,161,6496
0023-6022-05,161,6496
0023-6030-03,4124,648
0023-6082-01,5992,3
0023-6082-10,5992,3
0023-6110-01,743,14
0023-6111-01,743,21
0023-6112-01,743,30
0023-6114-01,743,23
0023-6115-01,743,10
0023-6116-01,743,1
0023-6118-03,8463,329
0023-6142-30,720825,1046
0023-6142-90,720825,1046
0023-6145-01,62427,488
0023-6146-01,1191,1162
