rxcui	ndcs
845508	[]
845516	[]
1923054	['00078090961']
1923056	['00078091661']
1923058	['00078092361']
1923053	[]
1923055	[]
1923057	[]
1541226	[]
1541225	[]
1495092	['51660012786']
748961	['00378727253', '00378727285', '00378729253', '00378729256', '00378729285', '57297087611', '57297087613', '63187074828', '68180087611', '68180087613', '68462030529', '68462030584']
748962	['51862010201', '51862010206', '51862088401', '51862088403']
1539953	['16714044001', '16714044002', '16714044003', '16714044004']
831533	['51862010001', '51862010006', '51862088601', '51862088603']
977836	['68462030329', '68462030384']
1422896	['57297087711', '57297087713', '68180087711', '68180087713']
757594	['52544089228']
1430383	['50102010000', '50102010001', '50102010003', '50102010010', '50102010048', '53002168701', '53002168703', '53002168706']
748974	[]
748977	['52544062928']
1811763	['50090323500', '69238158306']
748987	['00062141111', '50458019400', '50458019406', '50458019412', '50458019416', '50458019423', '50458019428']
1539955	['16714044101', '16714044102', '16714044103', '16714044104']
762335	[]
1921245	['00074012403', '00074012473']
1921244	[]
1873087	['00074254003']
1873086	[]
1594358	['00074379903']
1594357	[]
808583	[]
1149361	[]
1149358	[]
1861580	[]
1861581	[]
1802215	[]
750157	['00069307075']
749780	['00378153459', '00527239517', '00527239572', '00527275017', '00781194133', '00781578903', '00781809003', '16571069613', '16571069691', '33261087901', '35356079803', '46708005803', '50111078855', '50111078867', '51224012203', '51224012209', '55700083203', '57297016113', '59762307001', '60505258200', '60505258202', '62332025203', '62980096405', '63187059403', '64679096403', '64679096404', '64679096405', '65862064264', '65862064290', '68071468003', '68071497603', '68160016113', '68180016113', '69452017272', '69452017274', '70882011803', '71205019603', '71335125201', '72189009003']
1550722	['59617002001']
1550721	[]
759440	[]
1244583	[]
1244582	[]
1370014	[]
1244589	[]
1245545	[]
1245544	[]
1368972	[]
1246538	[]
1362213	[]
1362212	[]
1100469	[]
795142	[]
795141	[]
1114604	[]
1100470	[]
1100471	['00178083230', '00178086630']
904661	[]
904660	[]
904663	[]
904662	[]
904665	[]
904664	[]
904667	[]
904666	[]
904669	[]
904668	[]
904671	[]
904670	[]
883809	[]
883810	['68712001401']
995864	[]
1310942	[]
1310943	[]
835701	['10337081403']
835700	[]
1604350	['62856071405', '62856071430']
1792393	['62856071805', '62856071830']
1604384	['62856071005', '62856071030']
1604349	[]
1792392	[]
1604383	[]
1656706	['47918089463']
1656705	[]
1544571	['47918088236']
1544570	[]
795852	['10337080203']
757460	[]
795853	['10337080103']
757464	[]
1311150	['00113758072', '00363100903', '00363114204', '00363221248', '11673060172', '11673070172', '21130005848', '21130090148', '23900001452', '30142058072', '36800058072', '37000041348', '37012058072', '41163047248', '41163049148', '41163074448', '41163085048', '41250065348', '41250074448', '41250077248', '41520044648', '41520049148', '41520087248', '49035019248', '49035058072', '49035074448', '55301099922', '55316058072', '55319049048', '55910081172', '56062058072', '56062071772', '58602077054', '59726005024', '59726007248', '59726020148', '59726084448', '59779049148', '62011043701', '63868001148', '67091020448', '67091030948', '67091033648', '68016020348', '68016060048', '68016087948', '68016088248', '69256058072', '72476085048', '72476090148']
1541228	[]
1541227	[]
759697	['68047070235']
797022	['00095008735']
895521	[]
795772	['00173063310']
751139	['13668004529', '69102063909']
1872985	[]
1801278	['00074433907']
1801277	[]
757969	['64764070201', '64764070211']
757968	['00781405432', '00781405442', '57237000101', '57237000114', '66993041864', '66993041882']
1291986	[]
1291987	['66220042201', '66220042202']
1492748	['55513048595', '55513048596', '59572063027', '59572063099']
1605455	['55513036955', '59572063255']
1492747	[]
1605454	[]
834245	[]
834244	[]
763090	[]
763091	[]
1020065	['00093550919', '00093550944', '00591387604', '16714087001', '16714087002', '59762040704', '63304044009', '63304044011', '68382007573', '70771143604']
1020066	['00430097903']
905093	['00430047203', '49999044804']
905092	['00093309844', '00378471499', '00591207504', '33342010937', '47335066868', '59762040504', '60723004104', '65862051904']
1869605	['70868011141', '71297021141']
1873993	['00078086714', '00078086742', '00078089514']
1873992	[]
1549683	['50458058451', '50458058452']
