"icd9cm","icd10cm","flags","approximate","no_map","combination","scenario","choice_list"
"0042","NoPCS","11000",1,1,0,0,0
"0043","A033","00000",0,0,0,0,0
"0043","NoPCS","11000",1,1,0,0,0
"0044","NoPCS","11000",1,1,0,0,0
"0045","NoPCS","11000",1,1,0,0,0
"0046","NoPCS","11000",1,1,0,0,0
"0047","NoPCS","11000",1,1,0,0,0
"0048","A038","00000",0,0,0,0,0
"0048","NoPCS","11000",1,1,0,0,0
"0049","A039","00000",0,0,0,0,0
"0049","5A0512C","10000",1,0,0,0,0
"0049","5A0522C","10000",1,0,0,0,0
"0050","02HL3JZ","10112",1,0,1,1,2
"0050","0JH837Z","10111",1,0,1,1,1
"0050","02HL4JZ","10112",1,0,1,1,2
"0050","02H63JZ","10114",1,0,1,1,4
"0050","02H64JZ","10114",1,0,1,1,4
"0050","0JH807Z","10111",1,0,1,1,1
"0050","02HK0JZ","10112",1,0,1,1,2
"0050","02HK4JZ","10112",1,0,1,1,2
"0050","A050","00000",0,0,0,0,0
"0050","02H43JZ","10113",1,0,1,1,3
"0050","02HL0JZ","10112",1,0,1,1,2
"0050","0JH607Z","10111",1,0,1,1,1
"0050","02H40JZ","10113",1,0,1,1,3
"0050","02H60JZ","10114",1,0,1,1,4
"0050","02HK3JZ","10112",1,0,1,1,2
"0050","0JH637Z","10111",1,0,1,1,1
"0050","02H44JZ","10113",1,0,1,1,3
"0051","02HK3KZ","10112",1,0,1,1,2
"0051","0JH839Z","10111",1,0,1,1,1
"0051","02HL0KZ","10112",1,0,1,1,2
"0051","02HK4KZ","10112",1,0,1,1,2
"0051","0JH609Z","10111",1,0,1,1,1
"0051","02HK0KZ","10112",1,0,1,1,2
"0051","A051","00000",0,0,0,0,0
"0051","02HL4KZ","10112",1,0,1,1,2
"0051","02HL3KZ","10112",1,0,1,1,2
"0051","0JH809Z","10111",1,0,1,1,1
"0051","0JH639Z","10111",1,0,1,1,1
"0052","02H43KZ","10000",1,0,0,0,0
"0052","02H43JZ","10000",1,0,0,0,0
"0052","02H43KZ","10111",1,0,1,1,1
"0052","02H43MZ","10000",1,0,0,0,0
"0052","02H43MZ","10111",1,0,1,1,1
"0052","02PA0MZ","10112",1,0,1,1,2
"0052","A052","00000",0,0,0,0,0
"0052","02PA4MZ","10112",1,0,1,1,2
"0052","02PA3MZ","10112",1,0,1,1,2
"0053","0JPT0PZ","10112",1,0,1,1,2
"0053","A058","10000",1,0,0,0,0
"0053","0JH637Z","10000",1,0,0,0,0
"0053","0JH637Z","10111",1,0,1,1,1
"0053","0JH837Z","10000",1,0,0,0,0
"0053","0JH607Z","10000",1,0,0,0,0
"0053","0JPT3PZ","10112",1,0,1,1,2
"0053","0JH807Z","10000",1,0,0,0,0
"0053","0JH607Z","10111",1,0,1,1,1
"0054","0JH839Z","10000",1,0,0,0,0
"0054","0JH609Z","10000",1,0,0,0,0
"0054","0JPT0PZ","10112",1,0,1,1,2
"0054","0JH609Z","10111",1,0,1,1,1
"0054","0JH809Z","10000",1,0,0,0,0
"0054","0JH639Z","10000",1,0,0,0,0
"0054","A053","00000",0,0,0,0,0
"0054","0JPT3PZ","10112",1,0,1,1,2
"0054","0JH639Z","10111",1,0,1,1,1
"0055","NoPCS","11000",1,1,0,0,0
"0056","02HK42Z","10000",1,0,0,0,0
"0056","02HK00Z","10000",1,0,0,0,0
"0056","02HK40Z","10000",1,0,0,0,0
"0056","02HK32Z","10000",1,0,0,0,0
"0056","02HK30Z","10000",1,0,0,0,0
"0056","02HK02Z","10000",1,0,0,0,0
"0057","0JH630Z","10000",1,0,0,0,0
"0057","0JH600Z","10000",1,0,0,0,0
"0057","0JH830Z","10000",1,0,0,0,0
"0057","0JH800Z","10000",1,0,0,0,0
"0058","04H032Z","10000",1,0,0,0,0
