routecode	routecodeHier	formcode	formcodeHier	Route|FORM
3164	0: 3164~1: P.R	50490	0: 50490~1: ELX	P.R|SUP
3164	0: 3164~1: P.R	50493	0: 50493~1: INH	Unknown
3164	0: 3164~1: P.R	50496	0: 50496~1: LOZ	P.R|SUP
3164	0: 3164~1: P.R	4061938	0: 4061938~1: Sachet	P.R|SUP
3165	0: 3165~1: P.Z	50506	0: 50506~1: TAB	P.Z|TAB
3165	0: 3165~1: P.Z	Null	None	P.Z|TAB
3165	0: 3165~1: P.Z	50501	0: 50501~1: SOL	P.Z|TAB
3165	0: 3165~1: P.Z	50505	0: 50505~1: SYR	P.Z|TAB
3165	0: 3165~1: P.Z	50486	0: 50486~1: AMP	P.Z|TAB
3165	0: 3165~1: P.Z	50495	0: 50495~1: LIQ	P.Z|TAB
3165	0: 3165~1: P.Z	50489	0: 50489~1: DRP	P.Z|TAB
3165	0: 3165~1: P.Z	50491	0: 50491~1: EML	P.Z|TAB
3165	0: 3165~1: P.Z	50487	0: 50487~1: CAP	P.Z|TAB
3165	0: 3165~1: P.Z	50499	0: 50499~1: POW	P.Z|TAB
3165	0: 3165~1: P.Z	50504	0: 50504~1: SUS	P.Z|TAB
3165	0: 3165~1: P.Z	97834	0: 97834~1: P.O	P.Z|TAB
3165	0: 3165~1: P.Z	50490	0: 50490~1: ELX	P.Z|TAB
3165	0: 3165~1: P.Z	50503	0: 50503~1: SUP	P.Z|TAB
3165	0: 3165~1: P.Z	50502	0: 50502~1: SPR	P.Z|TAB
3165	0: 3165~1: P.Z	50494	0: 50494~1: INJ	P.Z|TAB
3165	0: 3165~1: P.Z	630201	0: 630201~1: PATCH	Unknown
3165	0: 3165~1: P.Z	50492	0: 50492~1: GEL	P.Z|TAB
3165	0: 3165~1: P.Z	4061938	0: 4061938~1: Sachet	P.Z|TAB
3165	0: 3165~1: P.Z	50488	0: 50488~1: CRM	P.Z|TAB
3165	0: 3165~1: P.Z	0	None	P.Z|TAB
